feature,mean_abs_shap
po2_max,0.8792693
mv_duration_hours,0.61301637
po2_min,0.37546274
sbp_mean,0.21969156
received_rrt,0.21197367
pt_max,0.21058801
sbp_max,0.18572763
platelets_max,0.18106863
hemoglobin_min,0.16434468
ptt_max,0.16392882
aniongap_min,0.16281381
last_fio2,0.15382844
bun_max,0.14461698
lactate_max,0.1400563
spo2_mean,0.12991902
cerebrovascular_disease,0.11948909
resp_rate_mean,0.11192555
pco2_max,0.103984736
ptt_min,0.09758588
creatinine_min,0.09545992
sodium_max,0.08771832
potassium_min,0.08386494
congestive_heart_failure,0.07170725
aniongap_max,0.06685571
ph_min,0.059987057
fibrinogen_min,0.05934649
bicarbonate_min,0.039729074
inr_max,0.03861751
